Country or Area,Year,co2,hfc,methane,total_ghg,Decade,Year_Group,co2_proportion,methane_proportion,hfc_proportion,co2_yoy_change,co2_yoy_abs_change,methane_yoy_change,methane_yoy_abs_change,hfc_yoy_change,hfc_yoy_abs_change,total_ghg_yoy_change,total_ghg_yoy_abs_change,co2_cumulative,methane_cumulative,hfc_cumulative,total_ghg_cumulative,Emission_Category,Region,co2_ma3,co2_ma5,methane_ma3,methane_ma5,hfc_ma3,hfc_ma5,total_ghg_ma3,total_ghg_ma5
Portugal,2021,39938.3301609649,3158.98555544566,10272.7780764246,56359.4071925433,2020,2020s,0.7086364486503859,0.18227264245930094,0.05605072361129471,-4.213605649617724,-1756.8713672107042,0.3656026209497565,37.42073470489959,2.3538262704051904,72.64704661449969,-2.877751812971996,-1669.9406083973954,1764615.7745332029,363876.6508185859,42178.567297357215,2278074.6344142463,High,Other,43042.525517906135,47121.31666156792,10313.3090457659,10350.46938501334,3125.0794075252397,3055.403758811962,59501.4203974696,63534.65055110116
Romania,2021,77190.5836765456,1908.23609158572,25785.3487833688,115403.151603311,2020,2020s,0.6688776051964508,0.2234371282337579,0.016535389762535494,4.274210738600437,3164.0500496926106,-2.1078929061627005,-555.2312172756974,3.291640415569952,60.81060399701005,3.0053837968715635,3367.112952274998,3242749.0372297764,1179621.7415002119,21392.619212035614,4839129.00569001,Very High,Other,76034.11306224797,77606.18633069898,26268.121844874466,26441.536107719538,1845.43400271461,1798.756620312588,114400.64826437266,116159.481265065
Russian Federation,2021,1711993.31534317,38619.9319879457,314778.311701588,2156599.34008451,2020,2020s,0.7938393022396467,0.1459604970894839,0.01790779180449546,4.8418509536665155,79064.00346010993,4.96657517855843,14893.98074564396,-1.1817763138734505,-461.859353105996,4.632915646324731,95489.4811428499,53663626.94885356,10190917.171759197,738834.747662016,67532975.92818801,Very High,Europe & Central Asia,1683317.848042573,1685713.8356060958,307798.55175210035,304842.239227505,37900.67565848836,38119.027395338446,2118075.7154138903,2116422.5699480763
Slovakia,2021,35166.805152243,672.373462648219,3700.76466857207,41226.4935788156,2020,2020s,0.8530147024270239,0.08976666088511887,0.016309256603712734,13.08881353855249,4070.1793659494033,0.022383796905733888,0.8281862678400103,3.9781723009355785,25.724798059055956,10.859998123340864,4038.604099557502,1312835.5088350498,162355.53327403415,10671.734504810805,1561936.7019603488,High,Other,33347.326211889005,34452.31987522708,3718.98203356754,3767.482319536736,669.2360013632288,678.7046402423673,39456.7033975135,40613.164274722796
Slovenia,2021,13059.9663444989,267.039430544354,2085.1196505767,16106.477227292,2020,2020s,0.8108518181970377,0.1294584545802182,0.01657962984555448,1.5951807582592403,205.0590083187999,-2.1663118383969837,-46.170388425479814,-3.8600900478647393,-10.721834966819983,0.8243851254661649,131.69373890369934,492440.9896801366,80951.88565074059,4880.205484444908,602908.9933767989,High,Other,13318.1051731073,13818.16948266484,2126.696151227117,2160.928598016098,275.66376333691596,291.09246104075936,16428.695772496,16969.12914719214
Spain,2021,230269.459356823,3612.74257753499,41492.4676364968,288847.815511327,2020,2020s,0.7971999336370024,0.14364819606838847,0.012507425652984792,7.791219995042908,16644.027371349017,0.06129761793947086,25.41831346480467,3.294851896724027,115.2376088003698,6.098731764683585,16603.45339023898,9058766.265309658,1390066.1531320591,279560.145046092,11161530.921305044,Very High,Other,231518.56048591467,247349.67950285302,41464.20026037974,41686.57117821301,3795.8927455324833,4373.00201798716,290302.11472417996,306902.9918441674
Sweden,2021,38524.7863528056,840.828883756483,4519.67604866978,47816.7013888382,2020,2020s,0.8056763690060477,0.09452086650470631,0.017584418400570744,5.01083712113457,1838.3000729509004,-1.5045166846881397,-69.0379679933194,-5.3744395764970365,-47.756483657244985,3.4679357312538572,1602.6728099394968,1651683.7433045679,212169.5792465955,23629.52211001151,2037162.1105109188,High,Other,38739.104204938725,40142.09696548,4594.6259495202,4709.733334921408,889.0783022429317,939.3561533087013,48212.656721804764,49796.96014431904
Switzerland,2021,35787.3402597987,1241.48096344005,5103.99734581896,45135.7201111042,2020,2020s,0.7928828912379393,0.11308111033246336,0.027505509170654023,4.533679112362887,1552.1152455417978,0.2185955250017413,11.13277404828932,-6.14036967313949,-81.21864566417003,3.0737411492486544,1345.9831637001043,1357336.3896506066,182423.4087515125,27751.929735390004,1684384.1434904155,High,Other,35583.16131122213,36357.76546272142,5115.411413096211,5171.412897680597,1302.36689468075,1343.39685693592,45131.976547746766,46076.44644784528
Türkiye,2021,452702.789837583,7209.79913787944,64020.2295680268,564389.749886679,2020,2020s,0.8021102260069021,0.11343265816021836,0.012774504036132938,9.632678433843033,39775.91775467305,0.19794013244509578,126.47138956259732,10.958670846410822,712.0652673473605,7.709855201133742,40398.933231363015,9097807.213514822,1579506.0087142633,70349.15439866205,11661933.541438831,Very High,Other,422773.9718135267,424256.28241351305,63710.1630944118,61671.360659095735,6461.376243312868,5936.179112238886,532368.8133396311,529756.0805153035
Ukraine,2021,210153.297816745,1901.01836490021,71536.7055844066,327258.765547632,2020,2020s,0.6421624718441882,0.21859370356267677,0.005808915039201661,1.609799133478429,3329.448533587012,-0.22598881469870769,-162.0311252440879,8.536897441063541,149.52333443604994,2.9002528818655726,9223.817739155027,10672012.888877323,3403413.799616444,16672.376099482677,15145446.907909064,Very High,Other,212973.43681678234,218732.9887209142,71095.81490818941,69067.65529463957,1779.16977648838,1556.524662102824,326470.6072375497,328502.7312383348
United Kingdom,2021,348409.722355914,10819.7102871536,51738.6580955582,429489.471098524,2020,2020s,0.8112183087160931,0.12046548653037752,0.02519202684871309,6.49383760092106,21245.512477819982,-1.00859348707929,-527.149531697898,-6.1234282682391505,-705.7535080831985,5.018617886590815,20524.394484844,16457492.447121067,3069131.903083611,379701.6114077559,20745827.750842378,Very High,Europe & Central Asia,347505.3491954537,362302.78094798524,52898.58371659893,53909.35395435486,11559.440020455033,12179.34600254212,430562.7313266693,447286.4720321222
United States of America,2021,5032212.81923104,158774.992115667,727444.742370365,6340228.29230889,2020,2020s,0.7936958398383607,0.11473478695598434,0.025042472415113412,6.7361578726294,317584.78733570967,-1.9944634842169462,-14803.877689192072,4.26516509890944,6494.993359565007,5.2150025832873315,314254.6795724202,177763781.18753335,25768234.88612452,3446336.682364879,221302278.07755116,Very High,North America,5002995.308480937,5119789.124809988,745824.253290627,754834.1147981558,153470.13910989134,150136.21549447143,6328039.593629457,6460154.973705543
