Country or Area,Year,Value,Gas_Type
Italy,2006,496934.395243516,co2
Italy,2005,502346.597756263,co2
Italy,2004,501631.595029306,co2
Italy,2003,496005.837396029,co2
Italy,2002,478001.996915942,co2
Italy,2001,470577.433110742,co2
Italy,2000,470524.118775355,co2
Italy,1999,466393.428601034,co2
Italy,1998,461646.72136902,co2
Italy,1997,449430.94131695,co2
Italy,1996,443656.709554322,co2
Italy,1995,449430.215594019,co2
Italy,1994,425428.212581864,co2
Italy,1993,431176.399717687,co2
Italy,1992,438770.955134979,co2
Italy,1991,438385.65376731,co2
Italy,1990,438904.296327849,co2
Japan,2021,1062129.23506539,co2
Japan,2020,1039795.89696067,co2
Japan,2019,1104539.82086726,co2
Japan,2018,1141668.881409,co2
Japan,2017,1186802.26309009,co2
Japan,2016,1202454.57089579,co2
Japan,2015,1223168.71725039,co2
Japan,2014,1264071.90619174,co2
Japan,2013,1315192.02197956,co2
Japan,2012,1305883.60330292,co2
Japan,2011,1264631.16386068,co2
Japan,2010,1214707.53787408,co2
Japan,2009,1163057.1927238,co2
Japan,2008,1232014.21819838,co2
Japan,2007,1302836.78925453,co2
Japan,2006,1267118.38794908,co2
Japan,2005,1290144.64599861,co2
Japan,2004,1282685.85386284,co2
Japan,2003,1287292.54277653,co2
Japan,2002,1278787.14984103,co2
Japan,2001,1249162.12650461,co2
Japan,2000,1263754.80022351,co2
Japan,1999,1241036.48882833,co2
Japan,1998,1204402.53811477,co2
Japan,1997,1244251.03866942,co2
Japan,1996,1251545.7167084,co2
Japan,1995,1239048.06662895,co2
Japan,1994,1226702.22499061,co2
Japan,1993,1171686.69524432,co2
Japan,1992,1178674.76183602,co2
Japan,1991,1168897.27554225,co2
Japan,1990,1157195.59475873,co2
Latvia,2021,7240.49647681672,co2
Latvia,2020,6999.91277736615,co2
Latvia,2019,7650.64679155874,co2
Latvia,2018,7863.00828531488,co2
Latvia,2017,7216.30267149435,co2
Latvia,2016,7211.63671527774,co2
Latvia,2015,7263.4534927407,co2
Latvia,2014,7173.20717668946,co2
Latvia,2013,7369.65452574749,co2
Latvia,2012,7520.5862751425,co2
Latvia,2011,7811.91663462442,co2
Latvia,2010,8555.26697513235,co2
Latvia,2009,7456.83224478214,co2
Latvia,2008,8198.93799176367,co2
Latvia,2007,8638.65982133857,co2
Latvia,2006,8310.87554222178,co2
Latvia,2005,7811.70049936681,co2
Latvia,2004,7732.1374158804,co2
Latvia,2003,7726.97883519789,co2
Latvia,2002,7521.35506571888,co2
Latvia,2001,7497.43675343276,co2
Latvia,2000,7082.57511623573,co2
Latvia,1999,7718.81598003441,co2
Latvia,1998,8306.99611000214,co2
Latvia,1997,8680.90606894927,co2
Latvia,1996,9212.67531367803,co2
Latvia,1995,9134.97590489271,co2
Latvia,1994,10371.2390270897,co2
Latvia,1993,11922.7564717637,co2
Latvia,1992,14194.6461822899,co2
Latvia,1991,17920.6964668989,co2
Latvia,1990,19662.7214048168,co2
Liechtenstein,2021,145.883912755427,co2
Liechtenstein,2020,141.929378094917,co2
Liechtenstein,2019,149.021820292411,co2
Liechtenstein,2018,142.950402856394,co2
Liechtenstein,2017,155.769396512046,co2
Liechtenstein,2016,149.838255915867,co2
Liechtenstein,2015,159.773794297678,co2
Liechtenstein,2014,161.2591698025,co2
